abdominal	abdominalt
kretisk	kretisk
krevende	krevende
krigersk	krigersk
krimfull	krimfullt
kriminal	kriminalt
kriminell	kriminelt
krimsjuk	krimsjukt
kring	kringt
krisearta	krisearta
kristelig	kristelig
kritisk	kritisk
kritthvit	kritthvitt
krittkvit	krittkvitt
kroatisk	kroatisk
krokbøyd	krokbøyd
krokbøyet	krokbøyet
kroket	kroket
krokete	krokete
krokrygga	krokrygga
kromatisk	kromatisk
kromgrønn	kromgrønt
kromgul	kromgult
kronglet	kronglet
kronglete	kronglete
kronisk	kronisk
kroppslig	kroppslig
kroppsnær	kroppsnært
krugg	krugt
krugget	krugget
kruggete	kruggete
kruksen	kruksent
krullet	krullet
krullete	krullete
krum	krumt
krumbeint	krumbeint
krumbent	krumbent
krumbøyd	krumbøyd
krumbøyet	krumbøyet
krumrygga	krumrygga
kruset	kruset
krusete	krusete
krushåra	krushåra
krushåret	krushåret
kruslet	kruslet
kruslete	kruslete
kryl	krylt
krylrygga	krylrygga
krympefri	krympefritt
kryptisk	kryptisk
kryptogam	kryptogamt
kryptogen	kryptogent
krøbel	krøbelt
krøken	krøkent
krøkket	krøkket
krøkkete	krøkkete
krøklet	krøklet
krøklete	krøklete
krøllet	krøllet
krøllete	krøllete
ktonisk	ktonisk
kubansk	kubansk
kubbet	kubbet
kubbete	kubbete
kubisk	kubisk
kubistisk	kubistisk
kuldskjær	kuldskjært
kuleforma	kuleforma
kulerund	kulerundt
kullblå	kullblått
kullet	kullet
kullete	kullete
kullfyrt	kullfyrt
kullmørk	kullmørkt
kullsvart	kullsvart
kulsen	kulsent
kulslig	kulslig
kulten	kultent
kultisk	kultisk
kultivert	kultivert
kulturell	kulturelt
kulturløs	kulturløst
kulørt	kulørt
kummerlig	kummerlig
kumulativ	kumulativt
kunnig	kunnig
kunstglad	kunstglad
kunstig	kunstig
kunstlet	kunstlet
kupert	kupert
kuplet	kuplet
kuplete	kuplete
kurant	kurant
kuratert	kuratert
kurativ	kurativt
kurdisk	kurdisk
kuriøs	kuriøst
kurlandsk	kurlandsk
kurlet	kurlet
kurlete	kurlete
kurr	kurt
kursiv	kursivt
kursorisk	kursorisk
kurvet	kurvet
kurvete	kurvete
kuslig	kuslig
kutikulær	kutikulært
kuven	kuvent
kuvet	kuvet
kuvete	kuvete
kuwaitisk	kuwaitisk
kuwaitsk	kuwaitsk
kvadrupel	kvadrupelt
kvalfull	kvalfullt
kvalm	kvalmt
kvalmende	kvalmende
kvant	kvant
kvapset	kvapset
kvapsete	kvapsete
kvar	kvart
kvart	kvart
kvartær	kvartært
kvasi	kvasi
kvass	kvast
kvassøyd	kvassøyd
kvat	kvatt
kveiset	kveiset
kveisete	kveisete
kvekken	kvekkent
kvell	kvelt
kvelven	kvelvent
kvensk	kvensk
kveppen	kveppent
kverv	kvervt
kverven	kvervent
kvidefull	kvidefullt
kvikk	kvikt
kvilelaus	kvilelaust
kvileløs	kvileløst
kviset	kviset
kvisete	kvisete
kvistet	kvistet
kvistete	kvistete
kvistfri	kvistfritt
kvistrik	kvistrikt
kvit	kvitt
kvitaktig	kvitaktig
kvitbleik	kvitbleikt
kvitfarga	kvitfarga
kvitgrønn	kvitgrønt
kvitgul	kvitgult
kvithåra	kvithåra
kvithåret	kvithåret
kvitkledd	kvitkledd
kvitlett	kvitlett
kvitlugga	kvitlugga
kvitmalt	kvitmalt
kvitt	kvitt
kyklopisk	kyklopisk
kymrisk	kymrisk
kyndig	kyndig
kynisk	kynisk
kyrillisk	kyrillisk
kyrr	kyrt
kysk	kyskt
kyssekte	kyssekte
kystnær	kystnært
kåren	kårent
kølet	kølet
kølete	kølete
kølmørk	kølmørkt
laber	labert
labial	labialt
labil	labilt
laborativ	laborativt
ladbar	ladbart
ladylike	ladylike
laga	laga
lagdelt	lagdelt
lagelig	lagelig
laglig	laglig
lagmessig	lagmessig
lagvis	lagvis
lakkrød	lakkrødt
lakonisk	lakonisk
lakserik	lakserikt
lakserød	lakserødt
laksrød	laksrødt
laminær	laminært
landfast	landfast
landfull	landfullt
landlaus	landlaust
landlig	landlig
landløs	landløst
landsens	landsens
lang	langt
langaktig	langaktig
langarma	langarma
langarmet	langarmet
langbeint	langbeint
langbent	langbent
langdryg	langdrygt
langelig	langelig
langerma	langerma
langermet	langermet
langfibra	langfibra
langflat	langflatt
langfri	langfritt
langgrunn	langgrunt
langhalsa	langhalsa
langhåra	langhåra
langhåret	langhåret
langkorna	langkorna
langlemma	langlemma
langlig	langlig
langliva	langliva
langlivet	langlivet
langmodig	langmodig
langreist	langreist
langrund	langrundt
langsint	langsint
langsom	langsomt
langsynt	langsynt
langtenkt	langtenkt
langtåa	langtåa
langvarig	langvarig
langåpen	langåpent
langøra	langøra
langøret	langøret
laotisk	laotisk
lapidar	lapidart
lappet	lappet
lappete	lappete
lappisk	lappisk
lapset	lapset
lapsete	lapsete
laryngal	laryngalt
laset	laset
lasete	lasete
lasket	lasket
laskete	laskete
lastefull	lastefullt
latent	latent
lateral	lateralt
latinsk	latinsk
latterlig	latterlig
latvisk	latvisk
laudabel	laudabelt
laus	laust
lausaktig	lausaktig
lauslynt	lauslynt
lausmunna	lausmunna
lausreven	lausrevet
lausrevet	lausrevet
lauvtynn	lauvtynt
lavadelig	lavadelig
lavbygd	lavbygd
lavhælt	lavhælt
lavlendt	lavlendt
lavlofta	lavlofta
lavloftet	lavloftet
lavlønna	lavlønna
lavlønnet	lavlønnet
lavlønt	lavlønt
lavmælt	lavmælt
lavpanna	lavpanna
lavpannet	lavpannet
lavsinna	lavsinna
lavsinnet	lavsinnet
lavspent	lavspent
lavtlønna	lavtlønna
lavtlønt	lavtlønt
lavtysk	lavtysk
lavvokst	lavvokst
lealaus	lealaust
lebendig	lebendig
leddelt	leddelt
leddet	leddet
leddete	leddete
leddlaus	leddlaust
leddløs	leddløst
leddvis	leddvis
ledig	ledig
leelig	leelig
lefset	lefset
lefsete	lefsete
legal	legalt
legeetisk	legeetisk
legelig	legelig
legemlig	legemlig
legitim	legitimt
leiken	leikent
leikende	leikende
leiret	leiret
leirete	leirete
leken	lekent
lekende	lekende
lekk	lekk
leksefri	leksefritt
lemfeldig	lemfeldig
lemmatisk	lemmatisk
lempelig	lempelig
lemster	lemstert
lengre	lengre
lengst	lengst
lens	lens
lepete	lepete
leprøs	leprøst
leptosom	leptosomt
lesbar	lesbart
lesefør	leseført
leseglad	leseglad
leselig	leselig
lesende	lesende
lesesvak	lesesvakt
leskelig	leskelig
lesothisk	lesothisk
lesp	lespt
lesverdig	lesverdig
letargisk	letargisk
lett	lett
lettbedt	lettbedt
lettbeint	lettbeint
lettbent	lettbent
lettbrukt	lettbrukt
lettfengt	lettfengt
lettfota	lettfota
lettfotet	lettfotet
lettføtt	lettføtt
lettglemt	lettglemt
lettgått	lettgått
lettjent	lettjent
lettkjøpt	lettkjøpt
lettkledd	lettkledd
lettkokt	lettkokt
lettlest	lettlest
lettliva	lettliva
lettlivet	lettlivet
lettlurt	lettlurt
lettlynt	lettlynt
lettlært	lettlært
lettløpt	lettløpt
lettløst	lettløst
lettmelka	lettmelka
lettrodd	lettrodd
lettruen	lettruent
lettrøket	lettrøket
lettrøkt	lettrøkt
lettrørt	lettrørt
lettrøykt	lettrøykt
lettsalta	lettsalta
lettskya	lettskya
lettskyet	lettskyet
lettstelt	lettstelt
lettvinn	lettvint
lettvint	lettvint
leug	leug
levantisk	levantisk
levelig	levelig
levende	levende
levittisk	levittisk
liberal	liberalt
liberisk	liberisk
libidinøs	libidinøst
libysk	libysk
lidderlig	lidderlig
lidende	lidende
liderlig	liderlig
liflig	liflig
light	light
lignende	lignende
likbleik	likbleikt
likblek	likblekt
like	like
likearta	likearta
likeartet	likeartet
likebeint	likebeint
likebent	likebent
likedan	likedan
likedanna	likedanna
likeens	likeens
likeforma	likeforma
likefram	likefram
likefrem	likefrem
likeglad	likeglad
likelig	likelig
likende	likende
likendes	likendes
likeretta	likeretta
likesida	likesida
likesidet	likesidet
likesinna	likesinna
likesæl	likesælt
liketil	liketil
likevarm	likevarmt
liknende	liknende
likvid	likvid
lilla	lilla
lille	lille
lindrig	lindrig
lineal	linealt
lineær	lineært
linfakset	linfakset
linfarga	linfarga
linfarget	linfarget
linjedelt	linjedelt
links	links
linn	lint
listig	listig
litauisk	litauisk
lite	lite
liten	lite
litisk	litisk
litotisk	litotisk
litt	litt
litterær	litterært
liturgisk	liturgisk
livaktig	livaktig
livat	livat
live	live
livegen	livegent
livfull	livfullt
livisk	livisk
livlandsk	livlandsk
livlaus	livlaust
livlig	livlig
livløs	livløst
livredd	livredd
livsalig	livsalig
livsens	livsens
livsfjern	livsfjernt
livsfrisk	livsfriskt
livsglad	livsglad
livsklok	livsklokt
livslang	livslangt
livsnær	livsnært
livstrett	livstrett
livstrøtt	livstrøtt
livsvarig	livsvarig
ljot	ljott
lodden	loddent
loddrett	loddrett
loet	loet
loete	loete
logisk	logisk
logistisk	logistisk
logn	lognt
lojal	lojalt
lokal	lokalt
lokket	lokket
lokkete	lokkete
londonsk	londonsk
loppet	loppet
loppete	loppete
lortet	lortet
lortete	lortete
loslitt	loslitt
loss	loss
lovbundet	lovbundet
lovende	lovende
lovfast	lovfast
lovgyldig	lovgyldig
lovhjemla	lovhjemla
lovkyndig	lovkyndig
lovlaus	lovlaust
lovlig	lovlig
lovlydig	lovlydig
lovløs	lovløst
lovmessig	lovmessig
lovpålagt	lovpålagt
lubben	lubbent
luftbåren	luftbåret
luftbåret	luftbåret
luftforma	luftforma
luftig	luftig
luftkjølt	luftkjølt
luftsjuk	luftsjukt
luftsyk	luftsykt
lufttett	lufttett
lufttom	lufttomt
lugn	lugnt
lugom	lugomt
luguber	lugubert
lugum	lugumt
lukansk	lukansk
lukrativ	lukrativt
luksuriøs	luksuriøst
luktfri	luktfritt
luktlaus	luktlaust
luktløs	luktløst
lukullisk	lukullisk
lumbal	lumbalt
lummer	lummert
lumpen	lumpent
lumsk	lumskt
lumskelig	lumskelig
lunefull	lunefullt
lunet	lunet
lunete	lunete
lunken	lunkent
lurvet	lurvet
lurvete	lurvete
lusen	lusent
luset	luset
lusete	lusete
lutdoven	lutdovent
luten	lutent
lutfattig	lutfattig
luthersk	luthersk
lutlei	lutleit
lutrygga	lutrygga
lutrygget	lutrygget
lutter	lutter
lybsk	lybsk
lydelig	lydelig
lydhør	lydhørt
lydig	lydig
lydisk	lydisk
lydlaus	lydlaust
lydlig	lydlig
lydløs	lydløst
lydmessig	lydmessig
lydrett	lydrett
lydtett	lydtett
lykkelig	lykkelig
lykksalig	lykksalig
lymfatisk	lymfatisk
lynende	lynende
lynfort	lynfort
lynhurtig	lynhurtig
lynkjapp	lynkjapt
lynkvikk	lynkvikt
lynrapp	lynrapt
lynrask	lynraskt
lynskarp	lynskarpt
lynsnar	lynsnart
lyrisk	lyrisk
lysblond	lysblondt
lysblå	lysblått
lysbrun	lysbrunt
lyseblond	lyseblondt
lyseblå	lyseblått
lysebrun	lysebrunt
lysegrå	lysegrått
lysegrønn	lysegrønt
lysegul	lysegult
lysekte	lysekte
lysende	lysende
lyseraud	lyseraudt
lyserød	lyserødt
lysfølsom	lysfølsomt
lysgrå	lysgrått
lysgrønn	lysgrønt
lysgul	lysgult
lyshuda	lyshuda
lyshudet	lyshudet
lyshåra	lyshåra
lyshåret	lyshåret
lyskledd	lyskledd
lyslugga	lyslugga
lyslugget	lyslugget
lysrød	lysrødt
lysskjær	lysskjært
lyssky	lyssky
lyssterk	lyssterkt
lyssvak	lyssvakt
lysvak	lysvakt
lysvåken	lysvåkent
lytefri	lytefritt
lytelaus	lytelaust
lyteløs	lyteløst
lågbygd	lågbygd
låghalt	låghalt
låglendt	låglendt
låglofta	låglofta
lågloftet	lågloftet
låglønna	låglønna
låglønnet	låglønnet
låglønt	låglønt
lågmælt	lågmælt
lågpanna	lågpanna
lågpannet	lågpannet
lågspent	lågspent
lågtlønna	lågtlønna
lågtlønt	lågtlønt
lågtysk	lågtysk
lågvokst	lågvokst
lånbar	lånbart
lårkort	lårkort
låsbar	låsbart
læraktig	læraktig
lærbar	lærbart
lærd	lærd
lærenem	lærenemt
lærerik	lærerikt
lærkledd	lærkledd
lærvillig	lærvillig
lødig	lødig
løen	løent
løfterik	løfterikt
løgelig	løgelig
løglig	løglig
løgnaktig	løgnaktig
lønna	lønna
lønnet	lønnet
lønnlig	lønnlig
lønnsom	lønnsomt
lønsk	lønsk
lønt	lønt
løpende	løpende
løpsk	løpsk
løpt	løpt
løsaktig	løsaktig
løsbar	løsbart
løselig	løselig
løskjefta	løskjefta
løslynt	løslynt
løsmunna	løsmunna
løsmunnet	løsmunnet
løsmynt	løsmynt
løsreven	løsrevet
løsrevet	løsrevet
løvtynn	løvtynt
løyen	løyent
løyerlig	løyerlig
løynsk	løynsk
løyselig	løyselig
macho	macho
madjarisk	madjarisk
madjarsk	madjarsk
mafiøs	mafiøst
magesur	magesurt
magisk	magisk
magmatisk	magmatisk
magnetisk	magnetisk
magnifikk	magnifikt
makaber	makabert
make	make
makedonsk	makedonsk
makelaus	makelaust
makelig	makelig
makeløs	makeløst
maken	maken
makkett	makkett
makkspist	makkspist
maks	maks
maksi	maksi
maksimal	maksimalt
maktesløs	maktesløst
maktfull	maktfullt
maktglad	maktglad
maktlaus	maktlaust
maktløs	maktløst
maktsjuk	maktsjukt
maktsyk	maktsykt
malawisk	malawisk
malayisk	malayisk
malaysisk	malaysisk
maldivisk	maldivisk
malende	malende
malerisk	malerisk
malign	malignt
malisiøs	malisiøst
malisk	malisk
malmfull	malmfullt
maltesisk	maltesisk
mandig	mandig
manerlig	manerlig
mangbølt	mangbølt
mangearta	mangearta
mangehoda	mangehoda
mangesida	mangesida
mangeårig	mangeårig
manierert	manierert
maniert	maniert
manifest	manifest
manikeisk	manikeisk
manisk	manisk
mannbisk	mannbiskt
mannevond	mannevondt
mannjamn	mannjamt
mannjevn	mannjevnt
mannlig	mannlig
mannsterk	mannsterkt
mannvond	mannvondt
mansk	mansk
manuell	manuelt
maoistisk	maoistisk
maorisk	maorisk
margfull	margfullt
marginal	marginalt
marglaus	marglaust
margløs	margløst
marin	marint
marineblå	marineblått
maritim	maritimt
markant	markant
markert	markert
markett	markett
markinsk	markinsk
markspist	markspist
maroder	marodert
martialsk	martialsk
masen	masent
maset	maset
masete	masete
maskinell	maskinelt
maskulin	maskulint
masse	masse
massiv	massivt
matbåren	matbåret
matbåret	matbåret
material	materialt
materiell	materielt
maternal	maternalt
maternell	maternelt
matglad	matglad
matlei	matleit
matmessig	matmessig
matnyttig	matnyttig
matt	matt
matvand	matvandt
maurisk	maurisk
mauritisk	mauritisk
mavesur	mavesurt
meddelsom	meddelsomt
medfaren	medfarent
medfødt	medfødt
medial	medialt
medioker	mediokert
medisinal	medisinalt
medisinsk	medisinsk
meditativ	meditativt
medium	medium
medregna	medregna
medregnet	medregnet
medtatt	medtatt
medveten	medvetent
medviten	medvitent
megaloman	megalomant
meinlaus	meinlaust
meinløs	meinløst
meinslig	meinslig
mekanisk	mekanisk
mektig	mektig
melaktig	melaktig
melen	melent
melert	melert
melet	melet
melete	melete
melkeblå	melkeblått
melkehvit	melkehvitt
melkekvit	melkekvitt
mellomblå	mellomblått
mellomst	mellomst
mellomste	mellomste
melodisk	melodisk
melodiøs	melodiøst
menig	menig
menløs	menløst
mental	mentalt
mere	mere
merkantil	merkantilt
merkbar	merkbart
merkelig	merkelig
merksam	merksamt
mesozoisk	mesozoisk
messiansk	messiansk
mest	mest
mesterlig	mesterlig
metabolsk	metabolsk
metallic	metallic
metallisk	metallisk
metamorf	metamorft
meterdjup	meterdjupt
meterdyp	meterdypt
meterhøg	meterhøgt
meterhøy	meterhøyt
meterlang	meterlangt
meterstor	meterstort
metertykk	metertykt
metodisk	metodisk
metrisk	metrisk
mett	mett
mettelig	mettelig
mexicansk	mexicansk
mezzo	mezzo
middelbar	middelbart
middelgod	middelgodt
middelhøy	middelhøyt
middels	middels
midi	midi
midlere	midlere
midterst	midterst
midtnorsk	midtnorsk
mild	mildt
milelang	milelangt
milevid	milevidt
militant	militant
militær	militært
mimisk	mimisk
mindre	mindre
mineralsk	mineralsk
mini	mini
minimal	minimalt
minnelig	minnelig
minnerik	minnerikt
minoisk	minoisk
minst	minst
mintgrønn	mintgrønt
minutiøs	minutiøst
mirakuløs	mirakuløst
misdanna	misdanna
misdannet	misdannet
miserabel	miserabelt
misfarga	misfarga
misfarget	misfarget
misforma	misforma
misformet	misformet
misgrodd	misgrodd
mislig	mislig
mislykka	mislykka
mislykket	mislykket
mislykt	mislykt
mislynt	mislynt
mismodig	mismodig
misnøgd	misnøgd
misnøyd	misnøyd
mistjent	mistjent
mistroisk	mistroisk
mistruen	mistruent
mistruisk	mistruisk
mjuk	mjukt
mjølaktig	mjølaktig
mjølen	mjølent
mjølet	mjølet
mjølete	mjølete
mjølkeblå	mjølkeblått
mjøllen	mjøllent
mnemisk	mnemisk
mobil	mobilt
mobile	mobile
modal	modalt
moden	modent
moderat	moderat
moderlig	moderlig
moderne	moderne
modest	modest
modig	modig
modulær	modulært
moldavisk	moldavisk
moldet	moldet
moldete	moldete
moldovsk	moldovsk
molekylær	molekylært
mollstemt	mollstemt
molukkisk	molukkisk
momentan	momentant
momsfri	momsfritt
monarkisk	monarkisk
monden	mondent
mondial	mondialt
monetær	monetært
monistisk	monistisk
monofon	monofont
monogam	monogamt
monoman	monomant
monoton	monotont
monstrøs	monstrøst
mopset	mopset
mopsete	mopsete
morbid	morbid
morgenrød	morgenrødt
morken	morkent
morlaus	morlaust
morløs	morløst
mormonsk	mormonsk
moro	moro
morosam	morosamt
morsk	morskt
morsken	morskent
morsom	morsomt
morsstolt	morsstolt
mosaisk	mosaisk
mosegrodd	mosegrodd
mosegrønn	mosegrønt
moset	moset
mosete	mosete
mota	mota
moteprega	moteprega
motfallen	motfallent
motgående	motgående
motivisk	motivisk
motivrik	motivrikt
motlaus	motlaust
motløs	motløst
motorisk	motorisk
motsatt	motsatt
motvillig	motvillig
movarm	movarmt
mozartsk	mozartsk
mudret	mudret
mudrete	mudrete
muggen	muggent
muldet	muldet
muldete	muldete
mulen	mulent
mulig	mulig
multippel	multippelt
munnkjapp	munnkjapt
munnrapp	munnrapt
munter	muntert
muntlig	muntlig
murfast	murfast
murmansk	murmansk
museal	musealt
musebrun	musebrunt
musegrå	musegrått
muset	muset
musete	musete
musgrå	musgrått
musikalsk	musikalsk
musisk	musisk
muskulær	muskulært
muskuløs	muskuløst
mutabel	mutabelt
mutagen	mutagent
mutant	mutant
mutt	mutt
myanmarsk	myanmarsk
myglet	myglet
myglete	myglete
myndig	myndig
myopisk	myopisk
myret	myret
myrete	myrete
myrlendt	myrlendt
mysteriøs	mysteriøst
mystisk	mystisk
mytisk	mytisk
målbar	målbart
målelig	målelig
mållaus	mållaust
målløs	målløst
målretta	målretta
målrettet	målrettet
månedlig	månedlig
månedsvis	månedsvis
månelys	månelys
månemørk	månemørkt
månesjuk	månesjukt
månesyk	månesykt
måtelig	måtelig
mødig	mødig
mødrene	mødrene
møllen	møllent
møllett	møllett
møllspist	møllspist
mønstret	mønstret
mønstrete	mønstrete
mørbanka	mørbanka
mørbanket	mørbanket
mørk	mørkt
mørkblå	mørkblått
mørkbrun	mørkbrunt
mørkeblå	mørkeblått
mørkebrun	mørkebrunt
mørkegrå	mørkegrått
mørkegul	mørkegult
mørkeredd	mørkeredd
mørkerød	mørkerødt
mørkgrå	mørkgrått
mørkgrønn	mørkgrønt
mørkgul	mørkgult
mørkhuda	mørkhuda
mørkhudet	mørkhudet
mørkhåra	mørkhåra
mørkhåret	mørkhåret
mørkkledd	mørkkledd
mørklett	mørklett
mørkredd	mørkredd
mørkrød	mørkrødt
mørkøyd	mørkøyd
møtetrett	møtetrett
møysom	møysomt
nagelfast	nagelfast
naglefast	naglefast
naiv	naivt
namdalsk	namdalsk
namibisk	namibisk
narraktig	narraktig
narrativ	narrativt
nasal	nasalt
nasalert	nasalert
nasjonal	nasjonalt
nask	naskt
natal	natalt
nattaktiv	nattaktivt
nattblind	nattblindt
nattemørk	nattemørkt
nattevåkt	nattevåkt
nattlig	nattlig
nattsort	nattsort
nattsvart	nattsvart
nattåpen	nattåpent
naturell	naturelt
naturgitt	naturgitt
naturlig	naturlig
naturnær	naturnært
naturtro	naturtro
naturtru	naturtru
naufin	naufint
naugod	naugodt
naurisk	naurisk
nautet	nautet
nautete	nautete
nautisk	nautisk
navigabel	navigabelt
navnlaus	navnlaust
navnløs	navnløst
navnspurt	navnspurt
nebbelig	nebbelig
nebbet	nebbet
nebbete	nebbete
nebuløs	nebuløst
nedarva	nedarva
nedarvet	nedarvet
nedblåst	nedblåst
nedbrent	nedbrent
nedbrutt	nedbrutt
nedbørrik	nedbørrikt
nedbøyd	nedbøyd
neddempa	neddempa
neddempet	neddempet
neddykka	neddykka
neddykket	neddykket
neddynga	neddynga
neddynget	neddynget
nederst	nederst
nedertysk	nedertysk
nedfor	nedfor
nedfryst	nedfryst
nedgravd	nedgravd
nedgravet	nedgravet
nedgrodd	nedgrodd
nedgående	nedgående
nedisa	nedisa
nediset	nediset
nedist	nedist
nedkjørt	nedkjørt
nedkuttet	nedkuttet
nedlessa	nedlessa
nedlesset	nedlesset
nedlesst	nedlesst
nedlåst	nedlåst
nedpakka	nedpakka
nedpakket	nedpakket
nedrent	nedrent
nedrevet	nedrevet
nedrig	nedrig
nedringa	nedringa
nedringet	nedringet
nedringt	nedringt
nedrulla	nedrulla
nedrullet	nedrullet
nedsarva	nedsarva
nedsarvet	nedsarvet
nedsenka	nedsenka
nedsenket	nedsenket
nedskutt	nedskutt
nedslitt	nedslitt
nedslått	nedslått
nedsnødd	nedsnødd
nedsota	nedsota
nedsotet	nedsotet
nedstemt	nedstemt
nedstilt	nedstilt
nedstøva	nedstøva
nedstøvet	nedstøvet
nedsunket	nedsunket
nedsylta	nedsylta
nedsyltet	nedsyltet
nedtrykt	nedtrykt
nedtråkka	nedtråkka
nedtynga	nedtynga
nedtynget	nedtynget
negativ	negativt
negroid	negroid
nennsom	nennsomt
neonfarga	neonfarga
nepalsk	nepalsk
nepen	nepent
nepotisk	nepotisk
nerdet	nerdet
nerdete	nerdete
nervesvak	nervesvakt
nervøs	nervøst
nesegrus	nesegrus
nesevis	nesevist
nett	nett
netthendt	netthendt
netto	netto
neurotisk	neurotisk
nevestor	nevestort
nevnelig	nevnelig
nevrotisk	nevrotisk
newyorksk	newyorksk
nidels	nidels
nidkjær	nidkjært
nidobbel	nidobbelt
nidobbelt	nidobbelt
nidsk	nidsk
nietasjes	nietasjes
nifs	nifst
nigersk	nigersk
nihala	nihala
nihalet	nihalet
nikensk	nikensk
niks	niks
nipunkts	nipunkts
niten	nitent
nitid	nitid
nitrist	nitrist
nitrøs	nitrøst
nittenårs	nittenårs
nittiårig	nittiårig
nittiårs	nittiårs
niårig	niårig
niårs	niårs
nobel	nobelt
nokturn	nokturnt
nomadisk	nomadisk
nominal	nominalt
nominell	nominelt
nonprofit	nonprofit
nordirsk	nordirsk
nordisk	nordisk
nordjysk	nordjysk
nordlig	nordlig
nordmørsk	nordmørsk
nordnorsk	nordnorsk
nordre	nordre
nordvendt	nordvendt
nordøstre	nordøstre
normal	normalt
normativ	normativt
normlaus	normlaust
normløs	normløst
norrøn	norrønt
norsk	norsk
norskavla	norskavla
norskbygd	norskbygd
norskeid	norskeid
norskfødt	norskfødt
norskætta	norskætta
notabel	notabelt
notarial	notarialt
notorisk	notorisk
nouveau	nouveau
nubben	nubbent
nubbet	nubbet
nubbete	nubbete
nubisk	nubisk
nukleær	nukleært
numerisk	numerisk
numidisk	numidisk
numinøs	numinøst
nummen	numment
nuppet	nuppet
nuppete	nuppete
nupret	nupret
nuprete	nuprete
nurket	nurket
nurkete	nurkete
nusselig	nusselig
nusset	nusset
nussete	nussete
nuvet	nuvet
nuvete	nuvete
nyanlagt	nyanlagt
nyansatt	nyansatt
nybada	nybada
nybadet	nybadet
nybakt	nybakt
nybarbert	nybarbert
nybarokk	nybarokt
nybona	nybona
nybonet	nybonet
nybygd	nybygd
nybåren	nybårent
nybær	nybært
nydelig	nydelig
nydusja	nydusja
nydusjet	nydusjet
nydøpt	nydøpt
nyerverva	nyerverva
nyfallen	nyfallent
nyfanga	nyfanga
nyfanget	nyfanget
nyfarga	nyfarga
nyfarget	nyfarget
nyfattig	nyfattig
nyfiken	nyfikent
nyflettet	nyflettet
nyforlova	nyforlova
nyfrelst	nyfrelst
nyfrisert	nyfrisert
nyfødt	nyfødt
nygammal	nygammalt
nygammel	nygammelt
nygift	nygift
nygotisk	nygotisk
nygresk	nygresk
nygrilla	nygrilla
nygrillet	nygrillet
nyinnlagt	nyinnlagt
nyinnreda	nyinnreda
nyinnsatt	nyinnsatt
nyinnvidd	nyinnvidd
nykjemma	nykjemma
nykjemmet	nykjemmet
nykjøpt	nykjøpt
nykket	nykket
nykkete	nykkete
nyklippa	nyklippa
nyklippet	nyklippet
nyklipt	nyklipt
nykokt	nykokt
nykronet	nykronet
nykter	nyktert
nykverna	nykverna
nykvernet	nykvernet
nykvesst	nykvesst
nykåret	nykåret
nylaga	nylaga
nylagd	nylagd
nylaget	nylaget
nylagt	nylagt
nylakkert	nylakkert
nyleid	nyleid
nyliberal	nyliberalt
nylig	nylig
nymalt	nymalt
nymotens	nymotens
nynorsk	nynorsk
nyombygd	nyombygd
nyomvendt	nyomvendt
nyoperert	nyoperert
nyoppdaga	nyoppdaga
nyoppført	nyoppført
nyoppsatt	nyoppsatt
nyoppussa	nyoppussa
nyplanta	nyplanta
nyplantet	nyplantet
nypløyd	nypløyd
nypolert	nypolert
nypressa	nypressa
nypresset	nypresset
nypussa	nypussa
nypusset	nypusset
nypynta	nypynta
nypyntet	nypyntet
nyreforma	nyreforma
nyreist	nyreist
nyrik	nyrikt
nysilt	nysilt
nyskapt	nyskapt
nyskilt	nyskilt
nyskreven	nyskrevet
nyskrevet	nyskrevet
nyskurt	nyskurt
nyslipt	nyslipt
nyslått	nyslått
nysminka	nysminka
nysminket	nysminket
nysmitta	nysmitta
nysmittet	nysmittet
nysselig	nysselig
nystarta	nystarta
nystartet	nystartet
nystekt	nystekt
nystemt	nystemt
nystifta	nystifta
nystiftet	nystiftet
nystrigla	nystrigla
nystrøken	nystrøket
nystrøket	nystrøket
nystøpt	nystøpt
nysydd	nysydd
nysådd	nysådd
nytent	nytent
nytilsatt	nytilsatt
nytrakta	nytrakta
nytraktet	nytraktet
nytrimma	nytrimma
nytrimmet	nytrimmet
nytrukken	nytrukket
nytrukket	nytrukket
nytrykt	nytrykt
nyttbar	nyttbart
nyttelaus	nyttelaust
nytteløs	nytteløst
nyttig	nyttig
nyutbygd	nyutbygd
nyutdanna	nyutdanna
nyutgitt	nyutgitt
nyutklekt	nyutklekt
nyutnevnt	nyutnevnt
nyutstedt	nyutstedt
nyutvikla	nyutvikla
nyvalgt	nyvalgt
nyvaska	nyvaska
nyvasket	nyvasket
nyvunnet	nyvunnet
nåbleik	nåbleikt
nåblek	nåblekt
nådefull	nådefullt
nådelaus	nådelaust
nådeløs	nådeløst
nådig	nådig
nåen	nåent
nålevende	nålevende
nåslig	nåslig
nåtidig	nåtidig
nåværende	nåværende
nærende	nærende
nærere	nærere
næreste	næreste
nærgående	nærgående
nærig	nærig
nærmere	nærmere
nærmeste	nærmeste
nærskyld	nærskyldt
nærskyldt	nærskyldt
nærsynt	nærsynt
nærtagen	nærtagent
nærtaken	nærtakent
nødsaget	nødsaget
nødstedt	nødstedt
nødstilt	nødstilt
nødt	nødt
nødvendig	nødvendig
nøgd	nøgd
nøktern	nøkternt
nørdst	nørdst
nøttebrun	nøttebrunt
nøyaktig	nøyaktig
